city,property_type,page_url,location,price,area,beds,baths
Islamabad,House,zameen.com/Property/gulberg_residencia_block_i_gulberg_dream_villas_7_marla_double_story_house_available_for_sale_in_gulberg_residencia_i_block-37082206-10649-1.html,"Gulberg Dream Villas, Gulberg Residencia - Block I",3.1 Crore,7 Marla,4,5
Islamabad,House,zameen.com/Property/islamabad_g_15_a_house_of_1800_square_feet_in_g_15-43076103-764-1.html,"G-15, Islamabad",3 Crore,8 Marla,5,5
Islamabad,House,zameen.com/Property/islamabad_f_6_huge_opportunity_investor_rate_front_back_open_house-39662816-164-1.html,"F-6, Islamabad",14.75 Crore,17.8 Marla,5,5
Islamabad,House,zameen.com/Property/bahria_enclave_bahria_enclave_sector_c_sector_c_road_1_kanal_house_on_main_boulevard_for_sale_in_bahria_enclave-42425697-11973-1.html,"Bahria Enclave - Sector C, Bahria Enclave",9 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_c_brand_new_sun_face_6_bed_2_unit_house_available-42946319-3198-1.html,"DHA Phase 2 - Sector C, DHA Defence Phase 2",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/islamabad_f_8_house_for_sale_in_f_8_islamabad-43139796-166-1.html,"F-8, Islamabad",32 Crore,1.6 Kanal,7,7
Islamabad,House,zameen.com/Property/g_13_g_13_4_reasonably_priced_prime_location_3200_square_feet_house_in_g_13_4__islamabad_is_available_as_of_now-42934986-3340-1.html,"G-13/4, G-13",8.5 Crore,14.2 Marla,4,4
Islamabad,House,zameen.com/Property/g_11_g_11_1_reserve_a_house_now_in_g_11_1-42722004-3330-1.html,"G-11/1, G-11",4.4 Crore,6.7 Marla,5,5
Islamabad,House,zameen.com/Property/g_9_g_9_1_corner_in_g_9_1_3200_square_feet_house_for_sale-42722005-3384-1.html,"G-9/1, G-9",8 Crore,14.2 Marla,6,6
Islamabad,House,zameen.com/Property/i_8_i_8_3_i_8_3_beautiful_house_40x80_near_to_shifa_hospital_kachnar_park_double_story-42660792-3443-1.html,"I-8/3, I-8",8.75 Crore,14 Marla,4,4
Islamabad,House,zameen.com/Property/soan_garden_soan_garden_block_h_6_marla_double_unit_house_for_sale-42356706-3498-1.html,"Soan Garden - Block H, Soan Garden",2 Crore,6 Marla,3,2
Islamabad,House,zameen.com/Property/i_10_i_10_2_6_marla_margalla_facing_2nd_corner_house_for_sale_near_pso_pump_i_10_markaz-43139917-3421-1.html,"I-10/2, I-10",2.75 Crore,6 Marla,3,5
Islamabad,House,zameen.com/Property/g_13_g_13_1_4__marla_double_storey_beautiful_house_for_sale-43141560-3337-1.html,"G-13/1, G-13",2.8 Crore,4 Marla,3,4
Islamabad,House,zameen.com/Property/f_8_f_8_1_ready_to_sale_a_house_666_square_yards_in_f_8_1_islamabad-43039834-3314-1.html,"F-8/1, F-8",35 Crore,1.3 Kanal,6,6
